id,inputMask,inputPattern,outputMask,outputPattern
R203,[#. Jh.],[J. Jh.],#. Jahrhundert,J. Jahrhundert
R204,[#. Quartal ##. Jh.],[Z. Quartal JJ. Jh.],#. Viertel ##. Jahrhundert,Z. Viertel JJ. Jahrhundert
R205,[#. Quartal ##. Jh.],[Z. Quartal JJ. Jh.],#. Viertel ##. Jahrhundert,Z. Viertel JJ. Jahrhundert
R206,[(####)],[(JJJJ)],####,JJJJ
R207,[Anfang ##. Jh.],[Anfang JJ. Jh.],Anfang ##. Jahrhundert,Anfang JJ. Jahrhundert
R208,[Anno ####],[Anno JJJJ],####,JJJJ
R209,[c ####],[c JJJJ],####,JJJJ
R210,[c. ####],[c. JJJJ],um ####,um JJJJ
R211,[ca. #### - ####],[ca. JJJJ - ZZZZ],um ####/####,um JJJJ/ZZZZ
R212,[ca. ####-####],[ca. JJJJ-ZZZZ],um ####/um ####,um JJJJ/um ZZZZ
R213,[ca. ####-##],[ca. JJJJ-ZZ],um ####/um ####,um JJJJ/um JJZZ
R214,[ca. ####/####],[ca. JJJJ/ZZZZ],um ####/um ####,um JJJJ/um ZZZZ
R215,[ca. ####/##],[ca. JJJJ/ZZ],um ####/um ####,um JJJJ/um JJZZ
R216,[ca. ####?],[ca. JJJJ?],um ####,um JJJJ
R217,[ca. ####],[ca. JJJJ],um ####,um JJJJ
R218,[ca.####],[ca.JJJJ],um ####,um JJJJ
R219,[circa ####],[circa JJJJ],um ####,um JJJJ
R220,[ersch. ####],[ersch. JJJJ],####,JJJJ
R221,[i.e. ####?],[i.e. JJJJ?],vermutlich ####,vermutlich JJJJ
R222,[i.e.####],[i.e.JJJJ],####,JJJJ
R223,[MM ####],[MM JJJJ],####-##,JJJJ-MM
R224,[nach ####.##.##.],[nach JJJJ.MM.TT.],nach ####-##-##,nach JJJJ-MM-TT
R225,[nach ####.##.##],[nach JJJJ.MM.TT],nach ####-##-##,nach JJJJ-MM-TT
R226,[nach ####?],[nach JJJJ?],nach ####,nach JJJJ
