input mask,input pattern,input example,tokenized example,output mask,output pattern,output example,output example ISO
"######## v. Chr.",JJJJJJJJ v. Chr.,20000000 v. Chr.,20000000 v. Chr.,-########,-JJJJJJJJ,-20000000,-19999999-01-01/-19999999-12-31
"######### v. Chr.",JJJJJJJJJ v. Chr.,200000000 v. Chr.,200000000 v. Chr.,-#########,-JJJJJJJJJ,-200000000,-199999999-01-01/-199999999-12-31
vor # Mio. Jahren,vor J Mio. Jahren,vor 5 Mio. Jahren,vor 5 Mio. Jahren,-#000000,-J000000,-5000000,-4999999-01-01/-4999999-12-31
vor ## Mio. Jahren,vor JJ Mio. Jahren,vor 50 Mio. Jahren,vor 50 Mio. Jahren,-##000000,-JJ000000,-50000000,-49999999-01-01/-49999999-12-31
vor ### Mio. Jahren,vor JJJ Mio. Jahren,vor 500 Mio. Jahren,vor 500 Mio. Jahren,-###000000,-JJJ000000,-500000000,-499999999-01-01/-499999999-12-31
vor #### Mio. Jahren,vor JJJJ Mio. Jahren,vor 1000 Mio. Jahren,vor 1000 Mio. Jahren,-####000000,-JJJJ000000,-1000000000,-999999999-01-01/-999999999-12-31
in # Mio. Jahren,in J Mio. Jahren,in 5 Mio. Jahren,in 5 Mio. Jahren,"#000000",J000000,5000000,+5000000-01-01/+5000000-12-31
in ## Mio. Jahren,in JJ Mio. Jahren,in 50 Mio. Jahren,in 50 Mio. Jahren,"##000000",JJ000000,50000000,+50000000-01-01/+50000000-12-31
in ### Mio. Jahren,in JJJ Mio. Jahren,in 250 Mio. Jahren,in 250 Mio. Jahren,"###000000",JJJ000000,250000000,+250000000-01-01/+250000000-12-31
in #### Mio. Jahren,in JJJJ Mio. Jahren,in 1000 Mio. Jahren,in 1000 Mio. Jahren,"####000000",JJJJ000000,1000000000,
vor # Mrd. Jahren,vor J Mrd. Jahren,vor 1 Mrd. Jahren,vor 1 Mrd. Jahren,-#000000000,-J000000000,-1000000000,-999999999-01-01/-999999999-12-31
vor ## Mrd. Jahren,vor JJ Mrd. Jahren,vor 12 Mrd. Jahren,vor 12 Mrd. Jahren,-##000000000,-JJ000000000,-12000000000,
vor ### Mrd. Jahren,vor JJJ Mrd. Jahren,vor 123 Mrd. Jahren,vor 123 Mrd. Jahren,-###000000000,-JJJ000000000,-123000000000,
vor #### Mrd. Jahren,vor JJJJ Mrd. Jahren,vor 1234 Mrd. Jahren,vor 1234 Mrd. Jahren,-####000000000,-JJJJ000000000,-1234000000000,
