input mask,input pattern,input example,tokenized example,output mask,output pattern,output example,output example ISO
c ####,c JJJJ,c 1898,c 1898,ca. ####,ca. JJJJ,ca. 1898,1896-01-01/1900-12-31
c. ####,c. JJJJ,c. 1860,c. 1860,ca. ####,ca. JJJJ,ca. 1860,1858-01-01/1862-12-31
circa ####,circa JJJJ,circa 1865,circa 1865,ca. ####,ca. JJJJ,ca. 1865,1863-01-01/1867-12-31
Ende ##. Jh.,Ende JJ. Jh.,Ende 14. Jh.,Ende 14. Jh.,Ende ##. Jahrhundert,Ende JJ. Jahrhundert,Ende 14. Jahrhundert,1385-01-01/1400-12-31
Ende ##. Jh./Anfang ##. Jh.,Ende JJ. Jh./Anfang ZZ. Jh.,Ende 15. Jh./Anfang 16. Jh.,Ende 15. Jh./Anfang 16. Jh.,"Ende ##. Jahrhundert,Anfang ##. Jahrhundert","Ende JJ. Jahrhundert,Anfang ZZ. Jahrhundert","Ende 15. Jahrhundert,Anfang 16. Jahrhundert",
frühes ##. Jahrhundert,frühes JJ. Jahrhundert,frühes 20. Jahrhundert,frühes 20. Jahrhundert,Anfang ##. Jahrhundert,Anfang JJ. Jahrhundert,Anfang 20. Jahrhundert,1901-01-01/1915-12-31
Geistesgeschichte ####-####,Geistesgeschichte JJJJ-ZZZZ,Geistesgeschichte 1400-1600,Geistesgeschichte 1400-1600,"####/####",JJJJ/ZZZZ,1400/1600,1400-01-01/1600-12-31
Geschichte ### v. Chr.-###,Geschichte JJJ v. Chr.-ZZZ,Geschichte 800 v. Chr.-500,Geschichte 800 v. Chr.-500,-0###/0###,-0JJJ/0ZZZ,-0800/0500,-0799-01-01/0500-12-31
Geschichte ### v. Chr.-### v. Chr.,Geschichte JJJ v. Chr.-ZZZ v. Chr.,Geschichte 700 v. Chr.-400 v. Chr.,Geschichte 700 v. Chr.-400 v. Chr.,-0###/-0###,-0JJJ/-0ZZZ,-0700/-0400,-0699-01-01/-0399-12-31
Geschichte ####,Geschichte JJJJ,Geschichte 1555,Geschichte 1555,"####",JJJJ,1555,1555-01-01/1555-12-31
Geschichte ####,Geschichte JJJJ,Geschichte 1848,Geschichte 1848,"####",JJJJ,1848,1848-01-01/1848-12-31
Geschichte ####-,Geschichte JJJJ-,Geschichte 1945-,Geschichte 1945-,ab ####,ab JJJJ,ab 1945,1945-01-01/1948-12-31
Geschichte -####,Geschichte -JJJJ,Geschichte -1622,Geschichte -1622,bis ####,bis JJJJ,bis 1622,1597-01-01/1622-12-31
Geschichte #### - ####,Geschichte JJJJ - ZZZZ,Geschichte 1939 - 1945,Geschichte 1939 - 1945,"####/####",JJJJ/ZZZZ,1939/1945,1939-01-01/1945-12-31
Geschichte #### v.Chr.-####,Geschichte JJJJ v.Chr.-ZZZZ,Geschichte 0100 v.Chr.-1300,Geschichte 0100 v.Chr.-1300,-####/####,-JJJJ/ZZZZ,-0100/1300,-0099-01-01/1300-12-31
